Category,Label,Count
skills,N/A,221
skills,Java,12
skills,PHP,12
skills,computer,11
skills,Computer,9
skills,JavaScript,5
skills,"PHP, Laravel",4
skills,.NET,4
skills,ASP.NET,4
skills,SQL,3
Min_Experience,2.0,46
Min_Experience,3.0,43
Min_Experience,4.0,32
Min_Experience,5.0,30
Min_Experience,1.0,22
Min_Experience,8.0,5
Min_Experience,6.0,4
Min_Experience,7.0,4
Min_Experience,9.0,1
Max_Experience,2.0,65
Max_Experience,5.0,49
Max_Experience,3.0,45
Max_Experience,7.0,36
Max_Experience,8.0,32
Max_Experience,1.0,29
Max_Experience,4.0,27
Max_Experience,6.0,23
Max_Experience,10.0,15
Max_Experience,9.0,13
Company-Name,IBM,11
Company-Name,S&P GLOBAL MARKET INTELLIGENCE,9
Company-Name,CR2 TECHNOLOGIES,8
Company-Name,MM STAFFING CAREER CONSULTANTS PRIVATE LIMITED,8
Company-Name,ACCENTURE,8
Company-Name,MANTRASSUCCESS CONSULTANTS,6
Company-Name,ALLIES BUSINESS HUB,6
Company-Name,NOIDA POWER COMPANY LIMITED,5
Company-Name,ARTH INFOSOFT,4
Company-Name,NXC CONTROLS,4
